,seller_id,count_orders,count_products,sum_price_orders,count_orders_delivered,count_review_score_5,count_review_score_4,count_review_score_3,count_review_score_2,count_review_score_1,count_early_delivery,count_late_delivery
4804,7df1fc11cc5cbc518b39faa60cf5d67c,5,5,1037.6,5,4,0,0,0,1,5,0
4805,238fac594e170b59c6d228f5a4f4f1d9,29,30,3126.0,29,15,5,5,1,3,26,3
4806,29c322e3f09f886f8bacbe91dfbd979e,1,2,48.98,1,1,0,0,0,0,1,0
4807,134a288e7de827ec5ec62e3ec9c3a295,9,9,877.45,9,7,2,0,0,0,9,0
4808,33fd411ed63a7c2f9005e3f065d9f85d,1,1,24.9,1,0,1,0,0,0,1,0
4809,edb58a1390adf273840030a3d6253829,1,1,39.9,1,1,0,0,0,0,1,0
4810,1e8c6a4c538f286aee9573239740a4b4,5,5,359.7,5,2,1,1,1,0,5,0
4811,07de60b03d150fb3ea09eab5da5e4c8b,9,9,719.1,9,6,2,0,0,1,8,1
4812,f1ce5fdecd64935c28b9ff932751d0dc,2,2,158.0,2,1,1,0,0,0,2,0
4813,ede2977fbaf3738583170735ca403f6c,1,1,289.9,1,1,0,0,0,0,1,0
4814,03bd479e1d9484cdb14104d3023f7321,3,3,359.7,3,2,0,1,0,0,2,1
4815,31e60bf8d103ce47932a85f5562deb16,1,1,181.0,1,1,0,0,0,0,1,0
4816,83645b1645cdee8953ee54c29ceed564,14,14,978.9,14,9,2,3,0,0,14,0
4817,bdae679a9b282249bc23b9b69dae9a99,6,12,663.15,6,3,1,0,0,2,6,0
4818,5cf13accae3222c70a9cac40818ae839,149,156,14383.2,148,109,21,7,2,10,142,7
4819,a247197e2e9c19a6a53a6888cb8b660f,2,2,798.0,0,0,0,0,0,2,0,2
4820,249f0e9905a6e06ad6c6bea7547ab9f6,3,3,347.95,3,2,0,0,0,1,3,0
4821,96804ea39d96eb908e7c3afdb671bb9e,38,40,3610.7,37,21,9,2,1,5,36,2
4822,cd233f8bfa30ebfd651f47ee7d054951,1,1,79.9,1,1,0,0,0,0,1,0
4823,3986c0b54f6b748b75e7bd4e092aa3e5,1,1,24.99,1,1,0,0,0,0,1,0
4824,5563732abe64c3036cb97ad924128dd1,2,3,404.0,2,1,1,0,0,0,2,0
4825,51f108f62cb87d61918159902c8f8583,3,3,303.73,3,2,0,1,0,0,3,0
4826,134b867a0f7f8bbe6abf10f91874891e,1,1,789.89,1,0,1,0,0,0,1,0
4827,57c764b4a836300be881e2ff86e449f9,29,30,1211.0,28,16,7,1,1,4,23,6
4828,2fa13c8bd5705d279f7ed5cc9ec61c68,2,4,87.4,2,2,0,0,0,0,2,0
4829,e627629ba868740e287800f1a9be81c2,13,13,504.5,11,10,1,1,0,1,11,2
4830,c72de06d72748d1a0dfb2125be43ba63,21,22,17522.0,21,15,3,2,0,1,21,0
4831,8d79c8a04e42d722a75097ce5cbcf2ef,27,28,2777.72,26,21,3,0,0,3,22,5
4832,8060d731897e33b5c5ae575ce1e209e1,5,5,199.5,5,4,1,0,0,0,5,0
4833,4c4d546adf3c3868fe19c9ec6e9ffda9,2,3,111.7,2,1,0,1,0,0,2,0
4834,5a9c0859cb00fd8aa4db443837f0a700,2,2,208.0,2,1,1,0,0,0,2,0
4835,cecd97bc34ed8330bd4cd15713eda670,1,1,57.99,1,0,0,0,0,1,1,0
4836,9c3a1c416c765687bc79a04113269929,1,1,74.9,1,0,0,0,0,1,1,0
4837,8ae520247981aa06bc94abddf5f46d34,65,65,16320.99,65,46,12,1,2,4,64,1
4838,ac3508719a1d8f5b7614b798f70af136,103,104,12775.84,101,77,15,5,1,5,98,5
4839,15cd6eefe58588619aaed41dfa6621b1,16,18,1622.74,16,12,1,0,1,2,14,2
4840,4a3ca9315b744ce9f8e9374361493884,1806,1987,200472.92,1772,869,357,236,91,269,1560,246
4841,478bfe564db21eeb44386606aa30b650,3,3,182.7,3,2,1,0,0,0,3,0
4842,6d988d6174a2c27441597174f8905515,19,23,371.73,19,11,4,1,1,2,17,2
4843,ed49da7cadefc454d6a67de249eab240,2,2,43.0,1,1,0,0,0,1,2,0
4844,6f892e20a171e98efe17fdb971ff319b,44,53,6438.7,41,20,15,2,0,7,37,7
4845,4bfc7a4a1cf8d4d2121c27422d9e50b5,26,40,8124.4,26,21,1,2,1,1,25,1
4846,acadd4d36859671cb635527c6c977533,12,12,2381.0,12,7,3,1,0,1,10,2
4847,034b9387752bfa309f350a70cd45ffa3,8,8,96.0,8,4,4,0,0,0,8,0
4848,a1ed30492b3b798bc121845bc4aa7366,1,2,41.8,0,0,0,1,0,0,0,1
4849,abbf6046bbdf1028606a5bc7f00c99e7,7,7,2217.15,6,4,2,0,0,1,6,1
4850,901b460cdce0c64e471230d7f2f9f3a3,5,5,1904.0,5,4,0,0,1,0,5,0
4851,81ed90f07c0bacb7594940ba2ef676aa,2,2,223.9,2,1,1,0,0,0,2,0
4852,11eac105f3f90a9b87b19c89d91e24f3,5,5,802.89,5,2,1,1,0,1,5,0
4853,0725b8c0f3f906e58f70cbe76b7c748c,17,37,2190.3,16,10,0,2,1,5,10,7
4854,d1a5cc844736958c11b8efab9a2b4c87,1,1,237.6,1,0,0,0,0,1,0,1
4855,f35becee938e982bd615edf8ef12bcfb,6,6,148.59,6,3,1,1,1,0,6,0
4856,634964b17796e64304cadf1ad3050fb7,268,326,39465.1,265,148,56,21,9,34,234,34
4857,6624bc09786f0e41ae48dfc5eeb1a9e2,1,1,89.54,1,1,0,0,0,0,1,0
4858,54219883e72aad869adfb2a54b7bfa0f,5,5,6750.0,5,2,1,0,0,2,5,0
4859,5795aebfe331fbcd02a2c4b679fb7952,6,6,1280.0,6,3,1,1,0,1,6,0
4860,6e2d3e2dc84fb30f6078f39dd3bddd6f,1,1,219.0,0,0,0,0,0,1,0,1
4861,3078096983cf766a32a06257648502d1,59,64,8285.42,56,38,9,4,2,6,53,6
4862,014d9a685fd57276679edd00e07089e5,11,12,729.88,11,5,2,2,0,2,11,0
4863,656591be56071d4c9ef4e5fee78a578a,7,11,1702.0,7,4,3,0,0,0,5,2
4864,26562f211dd1364af2a8596dc945e8ae,2,2,99.0,2,2,0,0,0,0,2,0
4865,bccf933e006e9b94a6184af782963e77,45,46,4162.74,45,31,9,1,2,2,44,1
4866,12c2ed9cded6138cf0c75f525f565fc7,4,4,314.96,4,2,1,1,0,0,2,2
